Date,BAC,CVX,FDX,GS,HD,JPM,KO,LOW,MA,MS,PEP,TGT,UPS,V,WMT,XOM
2014-01-02,12.546710014343262,73.35716247558594,94.6891860961914,139.0872802734375,61.15192413330078,41.79457092285156,27.5328311920166,39.48237609863281,77.1600570678711,22.523542404174805,56.275840759277344,43.368019104003906,65.76459503173828,50.56215286254883,20.72640037536621,59.712345123291016
2014-01-03,12.788297653198242,73.48125457763672,94.87889099121094,140.07803344726562,61.05498504638672,42.11766052246094,27.397396087646484,39.09105682373047,76.8520278930664,22.87195587158203,56.37181854248047,43.58081817626953,65.61820220947266,50.59647750854492,20.658100128173828,59.56869125366211
2014-01-06,12.983124732971191,73.28623962402344,93.97782897949219,141.0372772216797,60.46601104736328,42.36178207397461,27.268741607666016,38.540035247802734,76.47093963623047,22.951799392700195,56.39921951293945,43.28566360473633,64.76526641845703,50.29219055175781,20.54253578186035,59.65846252441406
2014-01-07,12.858433723449707,73.9067153930664,95.27857208251953,140.1881103515625,60.76422882080078,41.87353515625,27.34998893737793,38.6358642578125,77.53611755371094,22.879209518432617,57.22178649902344,43.182701110839844,64.97530364990234,50.676544189453125,20.605581283569336,60.50252151489258
2014-01-08,12.920777320861816,72.85487365722656,95.09568786621094,140.30604553222656,61.084815979003906,42.26844787597656,27.04527473449707,38.7716178894043,77.51294708251953,22.90825080871582,57.0572624206543,43.031681060791016,64.92438507080078,50.838951110839844,20.442724227905273,60.30496597290039
2014-01-09,13.115604400634766,72.85487365722656,95.86793518066406,139.4883270263672,60.81639099121094,42.189449310302734,26.9030818939209,38.931339263916016,78.13912200927734,22.900989532470703,56.789920806884766,43.47785186767578,65.00076293945312,50.76803970336914,20.511016845703125,59.71831130981445
2014-01-10,13.068842887878418,71.5075912475586,96.62672424316406,140.2667236328125,61.14445877075195,41.995609283447266,27.1739444732666,39.674034118652344,77.32028198242188,22.71952247619629,57.23550033569336,42.98362731933594,65.25538635253906,50.589595794677734,20.497879028320312,60.173282623291016
2014-01-13,12.803887367248535,70.46754455566406,95.17697143554688,138.293212890625,60.369075775146484,41.428367614746094,26.767642974853516,38.85947799682617,75.0268783569336,22.407405853271484,56.46089172363281,42.21483612060547,63.797752380371094,50.079429626464844,20.353422164916992,58.994014739990234
2014-01-14,13.068842887878418,70.65663146972656,96.67413330078125,138.8592529296875,60.39888381958008,41.45710372924805,26.87599754333496,39.05112838745117,76.11153411865234,22.57435417175293,56.46089172363281,42.35899353027344,64.24331665039062,50.93734359741211,20.47687339782715,59.335205078125
2014-01-15,13.364980697631836,70.4261703491211,96.5725326538086,140.5498046875,60.44362258911133,42.713600158691406,26.92340087890625,38.563987731933594,76.2652816772461,23.38732147216797,56.81734848022461,42.25602722167969,64.31969451904297,51.19130325317383,20.398075103759766,59.13166046142578
2014-01-16,13.310429573059082,70.21935272216797,96.07118225097656,137.73484802246094,60.58528137207031,42.35460662841797,26.88953971862793,38.47614288330078,76.46257781982422,23.227630615234375,56.79679489135742,41.74121856689453,63.96326446533203,50.73601531982422,20.161680221557617,59.227455139160156
2014-01-17,13.255877494812012,70.49119567871094,95.19049835205078,138.607666015625,60.3914680480957,41.7227783203125,26.59836769104004,38.16352462768555,75.80680084228516,24.243839263916016,56.34436798095703,41.34996032714844,63.59407424926758,53.11759567260742,20.011960983276367,59.359161376953125
2014-01-21,13.255877494812012,71.12348175048828,96.3015365600586,136.18594360351562,59.98884963989258,41.765846252441406,27.03173828125,38.33187484741211,75.81233215332031,23.68492317199707,56.837928771972656,40.63607406616211,62.74114990234375,53.060394287109375,19.920034408569336,58.964073181152344
2014-01-22,13.364980697631836,71.16483306884766,96.40316772460938,136.56333923339844,59.79499053955078,41.34940719604492,27.018190383911133,38.2757568359375,77.15727996826172,23.438127517700195,56.789920806884766,40.48506164550781,63.00848388671875,53.30290222167969,19.79133415222168,58.59292984008789
2014-01-23,13.138982772827148,69.9593734741211,95.007568359375,134.2594451904297,59.824771881103516,40.545265197753906,26.57128143310547,38.596378326416016,76.2865982055664,22.850181579589844,56.50203323364258,40.258541107177734,62.34016418457031,52.21849060058594,19.688894271850586,58.04817581176758
2014-01-24,12.819470405578613,68.71842956542969,91.17314147949219,131.81405639648438,59.01958465576172,39.55441665649414,26.300424575805664,38.33987808227539,72.72051239013672,22.1025390625,55.816585540771484,39.62017059326172,61.31537628173828,50.617042541503906,19.547056198120117,56.77910614013672
2014-01-27,12.710366249084473,68.80113983154297,89.39142608642578,129.49452209472656,58.85556411743164,39.55441665649414,26.225933074951172,38.47614288330078,70.44190216064453,21.75412368774414,56.248416900634766,39.613304138183594,60.57701110839844,49.46630859375,19.47614288330078,56.82100296020508
