symbol_y,symbol_x,observations,return_correlation,absolute_return_correlation,cointegration_statistic,cointegration_pvalue,adf_statistic,adf_pvalue,alpha,beta,regression_r_squared,half_life,stationarity_score,eligible,use_log_prices
UPS,V,1510,0.4216062465417378,0.4216062465417378,-3.885752839821314,0.010377567268224148,-3.8844528723769898,0.002152291858468956,3.206514962018307,0.24655552246166756,0.7166822127522496,41.774651917293546,5.072609526478625,False,True
HD,UPS,1510,0.4683388628302802,0.4683388628302802,-3.6789625084859416,0.01949800436667029,-3.678194663174639,0.004430532338218379,-6.541167241062132,2.613170777729981,0.7545714891910158,48.18535098418385,4.531892788716965,False,True
JPM,UPS,1510,0.48641513994535096,0.48641513994535096,-3.534495114599761,0.02945755111196169,-3.533133288829144,0.007175835891534089,-6.490759080636656,2.46688611525611,0.7711758985815778,49.160541053192354,4.161346002034206,False,True
PEP,UPS,1510,0.3301228889514247,0.3301228889514247,-3.5284845160153724,0.029952465206690527,-3.527610006668936,0.007305685996001566,-1.1828009709566683,1.2891567628607494,0.7167143135821026,48.80158427423114,3.990029314630166,False,True
KO,PEP,1510,0.676732362859529,0.676732362859529,-3.289643814690308,0.05617136446948987,-3.288549619939346,0.015398129968919512,0.2379264336562983,0.7446621193215606,0.9187966434130816,45.73681076690053,3.7397494083246414,False,True
LOW,V,1510,0.3988639913868574,0.3988639913868574,-3.2179718133962654,0.06697339312593113,-3.216971038885738,0.019023106814013275,1.2406705467178973,0.6577272419983285,0.8948693389082347,54.58502005914728,3.2936802424285254,False,True
GS,MS,1510,0.8526265085140341,0.8526265085140341,-2.9561078127655054,0.12101079059177056,-2.9550799565435133,0.039307672234503155,2.841100057235059,0.663450591114245,0.8989185720172095,67.94209892467848,3.1753250841706775,False,True
LOW,UPS,1510,0.39844245476625484,0.39844245476625484,-3.1311104799762934,0.082223615209647,-3.1301764857220373,0.024399106988074362,-4.275299343029053,1.9624152534120909,0.675697999084143,62.99393739049045,3.0960719554636738,False,True
HD,LOW,1510,0.6988662823055585,0.6988662823055585,-2.9825822528618784,0.11440394861887498,-2.9813785526703813,0.036670384076255426,-0.41547640490560855,1.2280527549719418,0.949790982896633,51.641214374409344,3.0761098093685355,False,True
KO,V,1510,0.31281226164111586,0.31281226164111586,-3.156935313870707,0.07742972918881759,-3.154491948950262,0.02277466108087247,2.0511656365521223,0.32271595185326934,0.8773512808881061,44.80262582857632,3.066452598546066,False,True
UPS,WMT,1510,0.30107297458474896,0.30107297458474896,-3.1322972992325813,0.08199833788800942,-3.131340453269027,0.02431912763732892,3.0328272005376125,0.40518634516249413,0.5472736188929752,59.99777769547116,3.001319933189096,False,True
KO,UPS,1510,0.3100983525868701,0.3100983525868701,-3.0291304364853646,0.10344251693410833,-3.0271655427607334,0.03243418730177639,-0.6601579367599464,0.9640017290691242,0.6640352236617977,61.03885791435241,2.7843962530998145,False,True
LOW,PEP,1510,0.28045666812487624,0.28045666812487624,-3.020988656855604,0.10530040951420216,-3.01998701147996,0.03306955561490872,-2.1318021673699645,1.44376849718073,0.8480692536727774,57.617883014723986,2.738598249010208,False,True
