Date,UPS,V,spread,rolling_spread_mean,rolling_spread_std,zscore,target_position,signal_event,signal_holding_days
2023-06-29,149.29991149902344,229.03143310546875,0.4596941417587346,0.4671427305195993,0.045555214128484456,-0.16350683238710395,0.0,,0
2023-06-30,152.0137481689453,232.12013244628903,0.4744051884035885,0.46609643032714704,0.044646396522814914,0.18610142639833313,0.0,,0
2023-07-03,155.846923828125,232.5990753173828,0.49880028727952075,0.46557204890329457,0.044070722750886804,0.7539753446761331,0.0,,0
2023-07-05,152.62432861328125,234.0456695556641,0.4763769083697318,0.4647068067449703,0.04333432450598759,0.26930387764897606,0.0,,0
2023-07-06,152.03915405273438,233.4885406494141,0.47312306237490853,0.4636475102105537,0.0423271118968643,0.22386484075368202,0.0,,0
2023-07-07,152.4462127685547,231.11338806152344,0.47831773267339206,0.4625205396786223,0.04100054593946667,0.38529225971997555,0.0,,0
2023-07-10,153.77767944335938,232.7847900390625,0.48523715921443644,0.46172406426105445,0.04007694537680119,0.5866987798674075,0.0,,0
2023-07-11,157.0935821533203,235.1208648681641,0.5041089960714229,0.46122856583553407,0.03935964401145125,1.0894516785622668,0.0,,0
2023-07-12,158.15362548828125,236.74339294433597,0.5091385846177616,0.46067792871361174,0.03844378013877947,1.260559074295248,0.0,,0
2023-07-13,157.19534301757812,237.8185577392578,0.5019437743238977,0.4599616312045741,0.037249281565047566,1.1270591365906246,0.0,,0
2023-07-14,157.11053466796875,237.67193603515625,0.5015561745974242,0.45916957431096667,0.03582387312903635,1.183194238483998,0.0,,0
2023-07-17,154.9734344482422,238.4832000732422,0.48702013206826367,0.4579539026529639,0.0335482683030096,0.8664002908517419,0.0,,0
2023-07-18,156.52537536621094,235.3358917236328,0.5002600621449165,0.4570841202036547,0.03171347007229666,1.361438588802623,0.0,,0
2023-07-19,157.75506591796875,235.97122192382807,0.5074208142015932,0.45630438853005034,0.029835533919554364,1.7132733675679566,0.0,,0
2023-07-20,158.5352325439453,234.21185302734372,0.5141992269028901,0.4555603687921007,0.027753230293378554,2.112866051660286,0.0,,0
2023-07-21,158.84056091308594,233.8501739501953,0.5165043434429568,0.4565520656744581,0.028829264054804293,2.0795632401343895,0.0,,0
2023-07-24,159.7225341796875,235.3065643310547,0.5205107983414365,0.45794013911181414,0.029852197269690448,2.096015199964918,0.0,,0
2023-07-25,156.6271514892578,233.30284118652344,0.5030493019237234,0.45855878684124557,0.030391130586535035,1.4639308977267744,0.0,,0
2023-07-26,156.3727264404297,231.7487335205078,0.5030714646059458,0.45905291057701597,0.03086610933271226,1.4261128137156702,0.0,,0
2023-07-27,158.1790771484375,229.14874267578125,0.5173385678215725,0.45956086816436736,0.03156248902507216,1.8305812197291702,0.0,,0
2023-07-28,159.34091186523438,230.42919921875,0.5232828950279476,0.46047265892915945,0.03258343011945681,1.9276741542714904,0.0,,0
2023-07-31,158.69638061523438,232.36447143554688,0.517167646223484,0.4614538308009939,0.03337978998132112,1.6690882553085802,0.0,,0
2023-08-01,157.31407165527344,234.3682403564453,0.5063020599736991,0.4624895096484769,0.03378870569609083,1.296662580664968,0.0,,0
2023-08-02,155.49075317382812,232.1983184814453,0.49693745351190444,0.4632461766333911,0.03404236530804963,0.9896867204625965,0.0,,0
2023-08-03,153.92184448242188,233.3712158203125,0.4855538744246153,0.4639496166660884,0.034059982243658776,0.6343003235871947,0.0,,0
2023-08-04,153.44696044921875,233.59605407714844,0.48222645083910054,0.46474819632549896,0.03391713296607554,0.5153222865589379,0.0,,0
2023-08-07,154.47308349609375,236.0591735839844,0.48630518447796045,0.4657188447604294,0.03368603213238746,0.6111239114368205,0.0,,0
2023-08-08,153.11618041992188,233.88926696777344,0.47975917471856233,0.46671445935069794,0.03320000184318601,0.39291309167627947,0.0,,0
2023-08-09,152.11549377441406,234.34866333007807,0.4727184521606824,0.467610182154336,0.0326198477791471,0.15660005653404718,0.0,,0
