,Final Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Daily Win Rate,Market Exposure,Gross Exposure,Absolute Net Exposure,Total Turnover,Rebalance Days,Leg Orders,Completed Trades,Trade Win Rate,Average Trade Return,Average Holding Days,Profit Factor
Pairs Strategy,14158.808475024938,0.41588084750249377,0.029416925207960798,0.12111569364535654,0.29986337379719313,0.2926634029566272,-0.32833080826013705,0.5110771581359816,0.43373094764744863,0.43373094764744863,0.26215614254958863,81.0,81,162,40,0.675,0.011804059232645717,31.675,1.7373030036771633
50/50 Buy and Hold,41810.53114086817,3.181053114086817,0.12667184766776574,0.20864644501170967,0.6769068966598697,0.8937179675179452,-0.31069511674573,0.539608882996354,1.0,1.0,1.0,1.0,1,2,0,,,,
