Date,UPS,V,spread,rolling_spread_mean,rolling_spread_std,zscore,target_position,signal_event,signal_holding_days
2014-01-02,65.76459503173828,50.56215286254883,0.012279215500437424,,,,0.0,,0
2014-01-03,65.61820220947266,50.59647750854492,0.00988340156730505,,,,0.0,,0
2014-01-06,64.76526641845703,50.29219055175781,-0.0017130206737203668,,,,0.0,,0
2014-01-07,64.97530364990234,50.676544189453125,-0.0003523295416695271,,,,0.0,,0
2014-01-08,64.92438507080078,50.83895111083984,-0.001925188802634814,,,,0.0,,0
2014-01-09,65.00076293945312,50.76803970336914,-0.00040532585866381865,,,,0.0,,0
2014-01-10,65.25538635253906,50.58959579467773,0.004372400381416619,,,,0.0,,0
2014-01-13,63.79775238037109,50.07942962646485,-0.01571924290445026,,,,0.0,,0
2014-01-14,64.24331665039062,50.93734359741211,-0.012947494049889707,,,,0.0,,0
2014-01-15,64.31969451904297,51.19130325317383,-0.01298552008028897,,,,0.0,,0
2014-01-16,63.96326446533203,50.73601531982422,-0.016339831550410522,,,,0.0,,0
2014-01-17,63.59407424926758,53.11759567260742,-0.03343851327320935,,,,0.0,,0
2014-01-21,62.74114990234375,53.060394287109375,-0.04667562216267829,,,,0.0,,0
2014-01-22,63.00848388671875,53.30290222167969,-0.04354806398349231,,,,0.0,,0
2014-01-23,62.34016418457031,52.21849060058594,-0.04914380582118261,,,,0.0,,0
2014-01-24,61.31537628173828,50.61704254150391,-0.05803927313489643,,,,0.0,,0
2014-01-27,60.57701110839844,49.46630859375,-0.06448453441796098,,,,0.0,,0
2014-01-28,60.98434829711914,50.55071258544922,-0.06312937026040588,,,,0.0,,0
2014-01-29,60.67884826660156,49.67219543457031,-0.06382890159078702,,,,0.0,,0
2014-01-30,60.965293884277344,50.53241729736328,-0.06335261727510577,,,,0.0,,0
2014-01-31,60.61516952514648,49.28556823730469,-0.06295230075728409,,,,0.0,,0
2014-02-03,59.59041595458984,48.83715438842773,-0.07774923167743542,,,,0.0,,0
2014-02-04,59.762245178222656,49.08194732666016,-0.07610263257873151,,,,0.0,,0
2014-02-05,59.67950820922852,49.326751708984375,-0.0787147073249227,,,,0.0,,0
2014-02-06,60.30330657958984,50.1046028137207,-0.07217416952093914,,,,0.0,,0
2014-02-07,60.704322814941406,50.73830795288086,-0.06864498676552477,,,,0.0,,0
2014-02-10,60.29692459106445,50.45690155029297,-0.0740075375339283,,,,0.0,,0
2014-02-11,61.207149505615234,50.86414337158203,-0.06100661581485378,,,,0.0,,0
2014-02-12,61.1243896484375,51.37751770019531,-0.06483568080695945,,,,0.0,,0
2014-02-13,61.461761474609375,51.35002517700195,-0.0591994572980179,,,,0.0,,0
2014-02-14,61.89458084106445,51.79692840576172,-0.054318553284338544,,,,0.0,,0
2014-02-18,61.41720581054688,51.81069564819336,-0.06212668525954623,,,,0.0,,0
2014-02-19,60.58336639404297,51.3110580444336,-0.07340713016094613,,,,0.0,,0
2014-02-20,61.326961517333984,51.21480178833008,-0.06074497164128234,,,,0.0,,0
2014-02-21,61.60902786254883,51.19186782836914,-0.0560456987152973,,,,0.0,,0
2014-02-24,61.50643157958984,51.84048461914063,-0.06081667652867773,,,,0.0,,0
2014-02-25,61.18592834472656,52.05134582519531,-0.06704202102103951,,,,0.0,,0
2014-02-26,61.02566146850586,51.82215118408203,-0.06857675887006076,,,,0.0,,0
2014-02-27,61.25004577636719,51.861122131347656,-0.06509196095228065,,,,0.0,,0
2014-02-28,61.391056060791016,51.783180236816406,-0.06242157382849223,,,,0.0,,0
2014-03-03,61.39749526977539,50.751834869384766,-0.05735658103568697,,,,0.0,,0
2014-03-04,62.16668701171875,51.68234634399414,-0.049385884952431125,,,,0.0,,0
2014-03-05,62.23080825805664,51.06580352783203,-0.04539601535664717,,,,0.0,,0
2014-03-06,62.73081207275391,51.30645751953125,-0.03855264902208433,,,,0.0,,0
