,Final Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Daily Win Rate,Market Exposure,Gross Exposure,Absolute Net Exposure,Total Turnover,Rebalance Days,Leg Orders,Completed Trades,Trade Win Rate,Average Trade Return,Average Holding Days,Profit Factor
Pairs Strategy,14008.812914444978,0.4008812914444977,0.05785974084693324,0.0942217056640254,0.6437102824553149,0.788670125638971,-0.09955458991521349,0.5194029850746269,0.44370860927152317,0.44370860927152317,0.2681868519034404,42.0,42,84,21,0.6666666666666666,0.01672681466905455,31.904761904761905,3.2225476825653008
50/50 Buy and Hold,24507.773883577393,1.4507773883577393,0.1613365105190807,0.16832620626459913,0.9731193278335474,1.3173369629602076,-0.2069507398224072,0.5520212060967529,1.0,1.0,1.0,1.0,1,2,0,,,,
