Date,price_y,price_x,target_position,spread_position,weight_y,weight_x,return_y,return_x,gross_pair_return,cash_return,gross_exposure,net_exposure,short_notional,turnover_y,turnover_x,turnover,transaction_cost,borrow_cost,strategy_return,portfolio,drawdown,spread,zscore,target_event
2014-01-02,65.76459503173828,50.56215286254883,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.012279215500437424,,
2014-01-03,65.61820220947266,50.59647750854492,0.0,0.0,0.0,-0.0,-0.0022260126774136246,0.0006788604529834874,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.00988340156730505,,
2014-01-06,64.76526641845703,50.29219055175781,0.0,0.0,0.0,-0.0,-0.012998463266226112,-0.006013994882068996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,-0.0017130206737203668,,
2014-01-07,64.97530364990234,50.676544189453125,0.0,0.0,0.0,-0.0,0.0032430536159340217,0.007642411942660576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,-0.0003523295416695271,,
2014-01-08,64.92438507080078,50.83895111083984,0.0,0.0,0.0,-0.0,-0.0007836605023952004,0.003204774989777448,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,-0.001925188802634814,,
2014-01-09,65.00076293945312,50.76803970336914,0.0,0.0,0.0,-0.0,0.0011764126617304083,-0.001394824360480884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,-0.00040532585866381865,,
2014-01-10,65.25538635253906,50.58959579467773,0.0,0.0,0.0,-0.0,0.003917237299554621,-0.0035148867227104974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.004372400381416619,,
2014-01-13,63.79775238037109,50.07942962646485,0.0,0.0,0.0,-0.0,-0.022337374026002665,-0.010084408863107575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,-0.01571924290445026,,
2014-01-14,64.24331665039062,50.93734359741211,0.0,0.0,0.0,-0.0,0.006984012028558917,0.01713106513684992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,-0.012947494049889707,,
2014-01-15,64.31969451904297,51.19130325317383,0.0,0.0,0.0,-0.0,0.0011888842705303215,0.004985726341933283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,-0.01298552008028897,,
