zscore_lookback,entry_zscore,exit_zscore,stop_zscore,maximum_holding_days,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,completed_trades,trade_win_rate,profit_factor,total_turnover
60,2.5,0.0,4.0,60,0.4008812914444977,0.05785974084693324,0.0942217056640254,0.6437102824553149,0.788670125638971,-0.09955458991521349,21,0.6666666666666666,3.2225476825653008,42.0
60,2.5,0.0,3.5,60,0.39705383626217783,0.0573769309468144,0.09414313704784912,0.6393179031792525,0.7819467830454537,-0.0974448131239315,23,0.6086956521739131,3.1633817002737574,46.0
60,2.0,0.0,4.0,60,0.3662168894853868,0.05344630432095965,0.10639284188556587,0.5421756677491599,0.7346899582449502,-0.1080015776692882,26,0.6538461538461539,2.388125853775787,52.0
60,2.0,0.0,3.5,60,0.36094023596612534,0.05276632513386681,0.1063142365631799,0.5364221519149356,0.7253649955022361,-0.10424643518589083,30,0.5666666666666667,2.2783774372111156,60.0
60,2.5,0.0,4.0,40,0.24093365101644637,0.03667495108946839,0.08749363848167808,0.45497486564587203,0.5061926337004324,-0.11143694589390296,21,0.5714285714285714,1.9686467295708732,42.0
60,1.5,0.0,4.0,60,0.30323452638083626,0.045182967032989296,0.11470782064710365,0.442218203339371,0.6242823134090477,-0.10531709317705717,33,0.6363636363636364,1.9678469270513834,66.0
60,1.5,0.0,3.5,60,0.2982011256792516,0.04450832167007768,0.11463475936558246,0.436792366434254,0.6157675407968278,-0.10596994193410281,37,0.5675675675675675,1.9007335591829821,74.0
40,2.5,0.0,3.5,60,0.2289836772730851,0.03500249613399986,0.09259434125801608,0.4173833655844187,0.462786337116735,-0.12624842366921174,27,0.5185185185185185,1.8550058900812034,54.0
60,2.5,0.0,3.5,40,0.2127811690310668,0.03271310562230223,0.08789848704992224,0.4097122762519538,0.4521279222140632,-0.123531234737145,23,0.5217391304347826,1.7984287367534537,46.0
40,2.5,0.0,3.5,40,0.21455440676403326,0.03296489900151145,0.09154964795678688,0.3995661449283438,0.43528627359756944,-0.1071153006440907,28,0.5,1.7336047413044156,56.0
60,2.5,0.25,4.0,60,0.20775292074627716,0.03199744065718435,0.08953296879342507,0.3961235675352419,0.45262200647999246,-0.10889536647249942,21,0.5714285714285714,2.038924509618924,42.0
40,2.5,0.0,4.0,60,0.21241440065478567,0.03266098755434066,0.09283017803690279,0.3921536307073792,0.43539130497549666,-0.1285052863637388,22,0.5909090909090909,1.8206332002768704,44.0
60,2.5,0.25,3.5,60,0.2044531263927487,0.031526434377233015,0.08944976305625837,0.39130378912457786,0.4462645807750068,-0.10478254036065915,23,0.5217391304347826,2.0066184236760747,46.0
40,2.5,0.0,4.0,40,0.19329432828052617,0.029925643000990654,0.09144913333130167,0.3676749208042394,0.39984905863265974,-0.11216773232777055,23,0.6086956521739131,1.6752228951416277,46.0
60,2.0,0.0,4.0,40,0.20606888839774218,0.03175719927548304,0.10076884295135383,0.36015996438917114,0.4523826148393327,-0.1292631944724163,26,0.5384615384615384,1.6537998160176504,52.0
60,2.5,0.5,4.0,60,0.17611619594285788,0.027436795435994865,0.08585658749116729,0.3577304972651672,0.3931770502358634,-0.10876633269082925,21,0.6190476190476191,1.875842841479894,42.0
60,2.5,0.5,3.5,60,0.1729028387107614,0.026967870646224856,0.08576971323805188,0.352681976008076,0.38683047687254685,-0.10465291103331797,23,0.5652173913043478,1.845392462953826,46.0
60,2.0,0.25,4.0,60,0.18643908173928536,0.028936025039018487,0.10190608432643367,0.3304120909934667,0.4238441700084336,-0.1298398887818919,26,0.5769230769230769,1.6981064414075437,52.0
